event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,XRP/USDT,LONG,probe,2.4827,,1760281582.071333,,3.8127570902355443,,open,,2.73097,True,0.0,,0.028589,probe_breakout_long,12/10/2025 22:06,
open,ARB/USDT,LONG,probe,0.3299,,1760281582.071333,,28.69333745961741,,open,,0.36289000000000005,True,0.0,,0.005197,probe_breakout_long,12/10/2025 22:06,
close,BNB/USDT,LONG,probe,1246.56,1266.7,1760271286.1731827,1760282094,0.00794154927811591,0.15195913120576818,MAX_HOLD_PROFIT,,1371.2160000000001,True,0.007983671255487037,0.15195913120576818,14.584087,max_hold_pnl_positive,12/10/2025 19:14,12/10/2025 22:14
close,ADA/USDT,LONG,probe,0.6748,0.6757,1760281552.0530903,1760282572.6300166,14.027759377486346,0.005047187824019755,TRAP,,0.74228,True,0.007577795615718122,0.005047187824019755,0.008308,trap_reversal,12/10/2025 22:05,12/10/2025 22:22
close,XRP/USDT,LONG,probe,2.4827,2.4881,1760281582.071333,1760282812.755425,3.8127570902355443,0.01300790710961592,TRAP,,2.73097,True,0.0075809811776571395,0.01300790710961592,0.028589,trap_reversal,12/10/2025 22:06,12/10/2025 22:26
close,ARB/USDT,LONG,probe,0.3299,0.333,1760281582.071333,1760282812.755425,28.69333745961741,0.08134102076402157,TRAP,,0.36289000000000005,True,0.007608325360792153,0.08134102076402157,0.005197,trap_reversal,12/10/2025 22:06,12/10/2025 22:26
close,DOGE/USDT,LONG,probe,0.19973,0.20245,1760281492.0145822,1760282842.766118,47.39364155573917,0.12128639512725568,TRAP,,0.219703,True,0.007624309904354872,0.12128639512725568,0.002761,trap_reversal,12/10/2025 22:04,12/10/2025 22:27
close,ETH/USDT,LONG,probe,3894.07,4004.04,1760280411.3516057,1760283623.2318735,0.0025163650818640776,0.2687748567659035,TRAP,3901.85814,4283.477000000001,True,0.007949811286688596,0.2687748567659035,28.663136,trap_reversal,12/10/2025 21:46,12/10/2025 22:40
close,TRX/USDT,LONG,probe,0.3197,0.3216,1760280891.6691933,1760283833.3450148,29.608795833368113,0.048661463776224205,TRAP,,0.35167000000000004,True,0.007595248307175588,0.048661463776224205,0.001122,trap_reversal,12/10/2025 21:54,12/10/2025 22:43
open,BNB/USDT,LONG,probe,1294.57,,1760284463.6903903,,0.007365333527105576,,open,,1424.027,True,0.0,,19.511738,probe_breakout_long,12/10/2025 22:54,
open,TRX/USDT,LONG,probe,0.323,,1760284673.8060036,,29.51993753617667,,open,,0.35530000000000006,True,0.0,,0.001329,probe_breakout_long,12/10/2025 22:57,
open,BTC/USDT,LONG,probe,114101.76,,1760285154.0152667,,8.356523005591733e-05,,open,,125511.936,True,0.0,,681.014761,probe_breakout_long,12/10/2025 23:05,
open,ETH/USDT,LONG,probe,4085.92,,1760285424.1801765,,0.002333609033996031,,open,,4494.512000000001,True,0.0,,48.759643,probe_breakout_long,12/10/2025 23:10,
close,BNB/USDT,LONG,probe,1294.57,1295.97,1760284463.6903903,1760285634.3057885,0.007365333527105576,0.002679390491825244,TRAP,,1424.027,True,0.007632076446123232,0.002679390491825244,19.511738,trap_reversal,12/10/2025 22:54,12/10/2025 23:13
close,LINK/USDT,LONG,probe,18.35,19.12,1760281552.0530903,1760288155.8315659,0.5158546064265822,0.38947641810734646,TRAP,18.3867,20.185000000000002,True,0.007731628841121614,0.38947641810734646,0.245789,trap_reversal,12/10/2025 22:05,12/10/2025 23:55
close,TRX/USDT,LONG,probe,0.323,0.3229,1760284673.8060036,1760288245.8748853,29.51993753617667,-0.010578764815463947,TRAP,,0.35530000000000006,True,0.007626771061846605,-0.010578764815463947,0.001329,trap_reversal,12/10/2025 22:57,12/10/2025 23:57
close,ATOM/USDT,LONG,probe,3.343,3.502,1760280531.4341292,1760291348,2.8315680610014313,0.4424664883482051,MAX_HOLD_PROFIT,3.349686,3.6773000000000002,True,0.007752833351021919,0.4424664883482051,0.036278,max_hold_pnl_positive,12/10/2025 21:48,13/10/2025 00:49
close,SOL/USDT,LONG,probe,188.86,194.87,1760281552.0530903,1760292361,0.050121423424376706,0.29353651725624913,MAX_HOLD_PROFIT,189.23772,207.74600000000004,True,0.00769323752425443,0.29353651725624913,2.322082,max_hold_pnl_positive,12/10/2025 22:05,13/10/2025 01:06
close,BTC/USDT,LONG,probe,114101.76,113676.55,1760285154.0152667,1760294279.6833851,8.356523005591733e-05,-0.043146510222835145,REVERSE,,125511.936,True,0.007613738750759222,-0.043146510222835145,681.014761,reverse_signal,12/10/2025 23:05,13/10/2025 01:37
close,ETH/USDT,LONG,probe,4085.92,4129.78,1760285424.1801765,1760296232,0.002333609033996031,0.09468319953482468,MAX_HOLD_PROFIT,,4494.512000000001,True,0.0076688926962404785,0.09468319953482468,48.759643,max_hold_pnl_positive,12/10/2025 23:10,13/10/2025 02:10
open,ATOM/USDT,LONG,probe,3.507,,1760323900.8241253,,2.85143997718848,,open,,3.8577000000000004,True,0.0,,0.032198,probe_breakout_long,13/10/2025 09:51,
promote,ATOM/USDT,LONG,full,3.5070000000000006,,1760323900.8241253,,17.10863986313088,,promoted,,3.8577000000000004,False,0.0,,0.032198,probe_breakout_long,13/10/2025 09:51,
close,ATOM/USDT,LONG,full,3.5070000000000006,3.482,1760323900.8241253,1760328013.110111,17.10863986313088,-0.47554491017964673,REVERSE,,3.8577000000000004,False,0.04782891360136869,-0.47554491017964673,0.032198,reverse_signal,13/10/2025 09:51,13/10/2025 11:00
open,LTC/USDT,SHORT,probe,96.35,,1760333086.0939996,,0.10329471208076842,,open,,86.715,True,0.0,,1.104694,probe_breakout_short,13/10/2025 12:24,
open,BNB/USDT,LONG,probe,1313.84,,1760335607.5619535,,0.007575081828062806,,open,,1445.224,True,0.0,,11.721921,probe_breakout_long,13/10/2025 13:06,
close,LTC/USDT,SHORT,probe,96.35,97.42,1760333086.0939996,1760337228.4482963,0.10329471208076842,-0.11853150847037916,TRAP,,86.715,True,0.008006166543956198,-0.11853150847037916,1.104694,trap_reversal,13/10/2025 12:24,13/10/2025 13:33
close,BNB/USDT,LONG,probe,1313.84,1327.25,1760335607.5619535,1760337768.760401,0.007575081828062806,0.09357925816821148,TRAP,,1445.224,True,0.00800258914611136,0.09357925816821148,11.721921,trap_reversal,13/10/2025 13:06,13/10/2025 13:42
